1954,1.11427,China,
1955,3.30028,China,
1956,5.24316,China,
1957,4.85817,China,
1958,4.85069,China,
1959,5.17303,China,
1960,4.34454,China,
1961,3.91803,China,
1962,4.09815,China,
1963,4.05417,China,
1964,3.81018,China,
1965,3.67693,China,
1966,3.53317,China,
1967,3.31472,China,
1968,3.3428,China,
1969,3.08581,China,
1970,2.52141,China,
1971,2.82311,China,
1972,3.29221,China,
1973,4.29634,China,
1974,4.99659,China,
1975,4.77096,China,
1976,4.37394,China,
1977,4.35109,China,
1978,6.5675,China,
1979,7.72208,China,
1980,9.82109,China,
1981,11.939,China,
1982,11.31285,China,
1983,9.93309,China,
1984,10.3738,China,
1985,10.03761,China,
1986,11.90793,China,
1987,17.31107,China,
1988,19.38257,China,
1989,21.21803,China,
1990,24.79003,China,
1991,29.53569,China,
1992,32.13282,China,
1993,35.85828,China,
1994,34.03597,China,
1995,31.68061,China,
1996,29.48336,China,
1997,29.41268,China,
1998,27.84145,China,
1999,29.13848,China,
2000,32.53203,China,
2001,30.5028,China,
2002,32.41246,China,
2003,36.09884,China,
2004,40.28396,China,
2005,43.15717,China,
2006,43.24228,China,
2007,40.84294,China,
2008,36.21512,China,
2009,27.90694,China,
2010,29.70224,China,
2011,27.49724,China,
2012,25.32033,China,
2013,23.52639,China,
2014,22.88893,China,
1827,9.57565,United Kingdom,
1828,9.52361,United Kingdom,
1829,9.59775,United Kingdom,
1830,10.078,United Kingdom,
1831,9.73428,United Kingdom,
1832,9.11716,United Kingdom,
1833,10.30121,United Kingdom,
1834,10.21601,United Kingdom,
1835,10.9384,United Kingdom,
1836,11.0788,United Kingdom,
1837,8.92586,United Kingdom,
1838,10.16843,United Kingdom,
1839,10.55275,United Kingdom,
1840,10.35658,United Kingdom,
1841,10.89067,United Kingdom,
1842,10.80765,United Kingdom,
1843,11.79549,United Kingdom,
1844,12.28507,United Kingdom,
1845,11.6806,United Kingdom,
1846,11.20549,United Kingdom,
1847,10.63688,United Kingdom,
1848,10.41861,United Kingdom,
1849,12.62229,United Kingdom,
1850,15.2615,United Kingdom,
1851,15.89092,United Kingdom,
1852,15.45134,United Kingdom,
1853,17.05465,United Kingdom,
1854,14.84677,United Kingdom,
1855,15.07408,United Kingdom,
1856,16.9984,United Kingdom,
1857,18.3118,United Kingdom,
1858,19.24851,United Kingdom,
1859,19.39191,United Kingdom,
1860,19.22359,United Kingdom,
1861,17.6064,United Kingdom,
1862,17.84481,United Kingdom,
1863,17.75529,United Kingdom,
1864,17.9857,United Kingdom,
1865,19.12266,United Kingdom,
1866,21.05968,United Kingdom,
1867,20.4959,United Kingdom,
1868,19.71287,United Kingdom,
1869,20.01961,United Kingdom,
1870,19.45182,United Kingdom,
1871,19.68597,United Kingdom,
1872,21.0082,United Kingdom,
1873,19.9375,United Kingdom,
1874,18.83648,United Kingdom,
1875,17.95181,United Kingdom,
1876,16.32221,United Kingdom,
1877,16.35691,United Kingdom,
1878,16.28378,United Kingdom,
1879,16.76883,United Kingdom,
1880,18.31691,United Kingdom,
1881,18.82542,United Kingdom,
1882,18.82307,United Kingdom,
1883,18.66148,United Kingdom,
1884,18.7299,United Kingdom,
1885,17.51027,United Kingdom,
1886,17.3491,United Kingdom,
1887,17.36307,United Kingdom,
1888,17.5919,United Kingdom,
